285086 imgs, 9169 classes, dev=cuda
class set changed (9170->9169); resuming backbone only, fresh head
resumed from model.pt
ep6 it1750/2005 loss 1.398
ep6 it1800/2005 loss 1.584
ep6 it1850/2005 loss 1.213
ep6 it1900/2005 loss 1.378
ep6 it1950/2005 loss 1.455
ep6 it2000/2005 loss 1.349
== epoch 6: val acc 0.453
ep7 it0/2005 loss 1.278
ep7 it50/2005 loss 1.298
ep7 it100/2005 loss 1.219
ep7 it150/2005 loss 1.170
ep7 it200/2005 loss 1.268
ep7 it250/2005 loss 1.228
ep7 it300/2005 loss 1.080
ep7 it350/2005 loss 1.331
ep7 it400/2005 loss 1.337
ep7 it450/2005 loss 1.298
ep7 it500/2005 loss 1.201
ep7 it550/2005 loss 1.179
ep7 it600/2005 loss 1.155
ep7 it650/2005 loss 1.217
ep7 it700/2005 loss 1.270
ep7 it750/2005 loss 1.163
ep7 it800/2005 loss 1.387
ep7 it850/2005 loss 1.352
ep7 it900/2005 loss 1.352
ep7 it950/2005 loss 1.241
ep7 it1000/2005 loss 1.238
ep7 it1050/2005 loss 1.324
ep7 it1100/2005 loss 1.246
ep7 it1150/2005 loss 1.128
ep7 it1200/2005 loss 1.196
ep7 it1250/2005 loss 1.229
ep7 it1300/2005 loss 1.200
ep7 it1350/2005 loss 1.292
ep7 it1400/2005 loss 1.212
ep7 it1450/2005 loss 1.597
ep7 it1500/2005 loss 1.319
ep7 it1550/2005 loss 1.211
ep7 it1600/2005 loss 1.249
ep7 it1650/2005 loss 1.469
ep7 it1700/2005 loss 1.464
ep7 it1750/2005 loss 1.278
ep7 it1800/2005 loss 1.146
ep7 it1850/2005 loss 1.502
ep7 it1900/2005 loss 1.242
ep7 it1950/2005 loss 1.438
ep7 it2000/2005 loss 1.469
== epoch 7: val acc 0.459
ep8 it0/2005 loss 1.039
ep8 it50/2005 loss 1.009
ep8 it100/2005 loss 1.317
ep8 it150/2005 loss 1.025
ep8 it200/2005 loss 1.228
ep8 it250/2005 loss 1.090
ep8 it300/2005 loss 1.404
ep8 it350/2005 loss 1.190
ep8 it400/2005 loss 0.992
ep8 it450/2005 loss 1.192
ep8 it500/2005 loss 0.992
ep8 it550/2005 loss 1.164
ep8 it600/2005 loss 1.283
ep8 it650/2005 loss 1.218
ep8 it700/2005 loss 1.172
ep8 it750/2005 loss 1.095
ep8 it800/2005 loss 1.252
ep8 it850/2005 loss 1.073
ep8 it900/2005 loss 1.214
ep8 it950/2005 loss 1.346
ep8 it1000/2005 loss 1.517
ep8 it1050/2005 loss 1.445
ep8 it1100/2005 loss 1.586
ep8 it1150/2005 loss 1.192
ep8 it1200/2005 loss 1.378
ep8 it1250/2005 loss 1.455
ep8 it1300/2005 loss 1.509
ep8 it1350/2005 loss 1.359
ep8 it1400/2005 loss 1.460
ep8 it1450/2005 loss 1.246
ep8 it1500/2005 loss 1.353
ep8 it1550/2005 loss 1.386
ep8 it1600/2005 loss 1.539
ep8 it1650/2005 loss 1.765
ep8 it1700/2005 loss 1.486
ep8 it1750/2005 loss 1.293
ep8 it1800/2005 loss 1.335
ep8 it1850/2005 loss 1.278
ep8 it1900/2005 loss 1.459
ep8 it1950/2005 loss 1.265
ep8 it2000/2005 loss 1.329
== epoch 8: val acc 0.470
ep9 it0/2005 loss 1.118
ep9 it50/2005 loss 1.402
ep9 it100/2005 loss 0.981
ep9 it150/2005 loss 0.908
ep9 it200/2005 loss 1.380
ep9 it250/2005 loss 1.211
ep9 it300/2005 loss 1.012
ep9 it350/2005 loss 1.199
ep9 it400/2005 loss 1.303
ep9 it450/2005 loss 1.232
ep9 it500/2005 loss 1.150
ep9 it550/2005 loss 1.389
ep9 it600/2005 loss 1.072
ep9 it650/2005 loss 1.036
ep9 it700/2005 loss 1.554
ep9 it750/2005 loss 1.188
ep9 it800/2005 loss 1.021
ep9 it850/2005 loss 1.082
ep9 it900/2005 loss 1.309
ep9 it950/2005 loss 1.097
ep9 it1000/2005 loss 1.235
ep9 it1050/2005 loss 1.125
ep9 it1100/2005 loss 1.232
ep9 it1150/2005 loss 1.145
ep9 it1200/2005 loss 1.148
ep9 it1250/2005 loss 1.317
ep9 it1300/2005 loss 0.974
ep9 it1350/2005 loss 1.118
ep9 it1400/2005 loss 1.178
ep9 it1450/2005 loss 1.210
ep9 it1500/2005 loss 1.361
ep9 it1550/2005 loss 1.132
ep9 it1600/2005 loss 1.356
ep9 it1650/2005 loss 1.101
ep9 it1700/2005 loss 1.061
ep9 it1750/2005 loss 0.986
ep9 it1800/2005 loss 1.178
ep9 it1850/2005 loss 1.426
ep9 it1900/2005 loss 1.272
ep9 it1950/2005 loss 1.423
ep9 it2000/2005 loss 1.278
== epoch 9: val acc 0.474
ep10 it0/2005 loss 1.116
ep10 it50/2005 loss 1.154
ep10 it100/2005 loss 0.969
ep10 it150/2005 loss 0.815
ep10 it200/2005 loss 0.999
ep10 it250/2005 loss 1.247
ep10 it300/2005 loss 0.942
ep10 it350/2005 loss 1.187
ep10 it400/2005 loss 1.255
ep10 it450/2005 loss 1.489
ep10 it500/2005 loss 1.064
ep10 it550/2005 loss 0.931
ep10 it600/2005 loss 1.089
ep10 it650/2005 loss 0.973
ep10 it700/2005 loss 1.243
ep10 it750/2005 loss 1.414
ep10 it800/2005 loss 1.188
ep10 it850/2005 loss 1.277
ep10 it900/2005 loss 1.144
ep10 it950/2005 loss 1.189
ep10 it1000/2005 loss 1.331
ep10 it1050/2005 loss 1.097
ep10 it1100/2005 loss 1.154
ep10 it1150/2005 loss 1.277
ep10 it1200/2005 loss 1.050
ep10 it1250/2005 loss 1.162
ep10 it1300/2005 loss 0.926
ep10 it1350/2005 loss 1.049
ep10 it1400/2005 loss 1.321
ep10 it1450/2005 loss 1.062
ep10 it1500/2005 loss 0.917
ep10 it1550/2005 loss 1.129
ep10 it1600/2005 loss 1.238
ep10 it1650/2005 loss 1.248
ep10 it1700/2005 loss 1.070
ep10 it1750/2005 loss 1.353
ep10 it1800/2005 loss 1.127
ep10 it1850/2005 loss 1.009
ep10 it1900/2005 loss 1.277
ep10 it1950/2005 loss 1.493
ep10 it2000/2005 loss 1.245
== epoch 10: val acc 0.467
ep11 it0/2005 loss 1.048
ep11 it50/2005 loss 0.982
ep11 it100/2005 loss 0.944
ep11 it150/2005 loss 1.068
ep11 it200/2005 loss 0.897
ep11 it250/2005 loss 0.969
ep11 it300/2005 loss 0.966
ep11 it350/2005 loss 1.053
ep11 it400/2005 loss 0.974
ep11 it450/2005 loss 0.980
ep11 it500/2005 loss 1.089
ep11 it550/2005 loss 1.212
ep11 it600/2005 loss 1.095
ep11 it650/2005 loss 0.905
ep11 it700/2005 loss 0.878
ep11 it750/2005 loss 1.173
ep11 it800/2005 loss 0.916
ep11 it850/2005 loss 1.019
ep11 it900/2005 loss 1.008
ep11 it950/2005 loss 1.329
ep11 it1000/2005 loss 0.903
ep11 it1050/2005 loss 1.002
